id,username,first_name,last_name,company,address,city,state,zip_code,country,phone_number,amount,payment_method,transaction_type,card_number,exp_year,exp_month,cvv,email,transaction_id,date,status,fee,total
14,johndoe,john,dow,Testing,127.0.0.1,8000,http,235465,India,08798909876,100,credit,refund,4263982640269299,2026,02,837,user@gmail.com,7cfa17ab-4be0-11ee-ac62-ecf4bb328172,2023-09-05 04:36:43.661643,Complete,2.0,98.0
15,johndoe,john,dow,Testing,127.0.0.1,8000,http,235465,India,08798909876,80,credit,save,2222420000001113,2026,08,377,john@gmail.com,bea796a8-4be0-11ee-920d-ecf4bb328172,2023-09-05 04:38:33.849571,Complete,1.6,78.4
16,johndoe,john,dow,Testing,127.0.0.1,8000,http,235465,India,08798909876,120,credit,save,4263982640269299,2026,02,837,john@gmail.com,dc02ccf2-4be0-11ee-b019-ecf4bb328172,2023-09-05 04:39:23.100236,Complete,2.4,117.6
17,johndoe,john,dow,Testing,127.0.0.1,8000,http,235465,India,08798909876,80,credit,refund,2222420000001113,2027,09,765,john@gmail.com,fdf2d686-4be0-11ee-abfa-ecf4bb328172,2023-09-05 04:40:20.038140,Complete,1.6,78.4
18,johndoe,john,dow,Testing,127.0.0.1,8000,http,235465,India,08798909876,45,credit,save,4263982640269299,2028,07,765,john@gmail.com,1bddd600-4be1-11ee-ba53-ecf4bb328172,2023-09-05 04:41:10.232189,Complete,0.9,44.1
28,johndoe,new,user,visa,california,new city,new state,235465,India,09888367890,45,credit,save,9999999999999999,2029,09,876,user@gmail.com,ba8f8c79-4f04-11ee-9d0c-ecf4bb328172,2023-09-09 04:33:42.351736,Complete,0.9,44.1
29,johndoe,new,user,visa,california,new city,new state,235465,India,09888367890,09,credit,refund,6011000991300009,2027,12,876,user@gmail.com,50974589-5092-11ee-b619-ecf4bb328172,2023-09-11 03:59:44.265237,Complete,0.18,8.82
30,johndoe,new,user,visa,california,new city,new state,235465,India,09888367890,39,credit,post_auth,5425233430109903,2067,07,876,user@gmail.com,8956f1b1-5092-11ee-9a7b-ecf4bb328172,2023-09-11 04:01:19.468792,Complete,0.78,38.22
31,johndoe,new,user,visa,california,new city,new state,235465,India,09888367890,98,credit,auth_only,9090099900099990,2029,09,876,user@gmail.com,f29b56ae-5163-11ee-b3bd-ecf4bb328172,2023-09-12 05:00:20.900281,Complete,1.96,96.04
32,johndoe,new,user,visa,california,new city,new state,235465,India,09888367890,09,credit,save,2222222222222222,2029,09,876,user@gmail.com,91af6909-5164-11ee-bfc9-ecf4bb328172,2023-09-12 05:04:47.891346,Complete,0.18,8.82
36,johndoe,new,user,visa,california,new city,new state,235465,India,09888367890,87,credit,save,6666666666666666,2029,09,876,user@gmail.com,1ad01231-5167-11ee-904d-ecf4bb328172,2023-09-12 05:22:56.886982,Complete,1.74,85.26
